Size,BF,BNB,NN,RNN,ANN,GA
10,NAN,NAN,0.00015800000255694613,0.0043130000012752134,0.0012669999996433035,6.996923999999126
10,NAN,NAN,0.00016699999832781032,0.004381999999168329,0.0012520000018412247,6.951302000001306
10,NAN,NAN,0.00016600000162725337,0.004452999997738516,0.0012390000010782387,6.968187999998918
10,NAN,NAN,0.00015800000255694613,0.004299000000173692,0.00282599999991362,6.864473000001453
10,NAN,NAN,0.0001609999999345746,0.004490999999688938,0.0012610000012500677,6.894501999999193
10,NAN,NAN,0.00015700000221841037,0.004321000000345521,0.0012449999994714744,6.90199500000017
10,NAN,NAN,0.00015600000187987462,0.004249999998137355,0.001255000002856832,6.956813999997394
10,NAN,NAN,0.0001520000005257316,0.004139000000577653,0.002795000000332948,6.926693000001251
10,NAN,NAN,0.00015699999858043157,0.00443000000086613,0.001251000001502689,6.874652000002243
10,NAN,NAN,0.00015300000086426735,0.004166999999142718,0.0012280000009923242,6.966647999997804
10,NAN,NAN,0.00015799999891896732,0.004461000000446802,0.0012480000004870817,6.972783000001073
10,NAN,NAN,0.00015699999858043157,0.004293999998481013,0.002868999999918742,6.867799999999988
10,NAN,NAN,0.0001539999975648243,0.0043480000022100285,0.001229999998031417,6.95343000000139
10,NAN,NAN,0.0001520000005257316,0.004120999998121988,0.001224999999976717,6.870772999998735
10,NAN,NAN,0.00015700000221841037,0.004279999997379491,0.001238000000739703,6.949949999998353
10,NAN,NAN,0.0001540000012028031,0.004271999998309184,0.002807000000757398,6.997221000001446
10,NAN,NAN,0.00016799999866634607,0.0044369999995979015,0.0012840000017604325,6.97115599999961
10,NAN,NAN,0.0001559999982418958,0.0043550000009418,0.001238000000739703,6.971582999998645
10,NAN,NAN,0.0001650000012887176,0.0044280000001890585,0.001255999999557389,6.925480999998399
10,NAN,NAN,0.00015700000221841037,0.004268999997293577,0.002816000000166241,6.9632369999999355
10,NAN,NAN,0.00015600000187987462,0.004213000000163447,0.0012309999983699527,6.910683000001882
10,NAN,NAN,0.00015499999790336005,0.004211999999824911,0.0012239999996381812,6.779856000001018
10,NAN,NAN,0.00015899999925750308,0.004241999999067048,0.001251000001502689,6.959620999998151
10,NAN,NAN,0.00015999999959603883,0.004457999999431195,0.002892999997129664,6.9845600000007835
10,NAN,NAN,0.0001609999999345746,0.004527000000962289,0.0012879999994765967,6.904819999999745
10,NAN,NAN,0.0001559999982418958,0.004270000001270091,0.0012580000002344605,6.890550000000076
10,NAN,NAN,0.00015799999891896732,0.004243999999744119,0.00122900000133086,6.951317999999446
10,NAN,NAN,0.0001540000012028031,0.0043130000012752134,0.002868999999918742,6.963661999998294
10,NAN,NAN,0.00015999999959603883,0.004381999999168329,0.0012669999996433035,6.975623000002088
10,NAN,NAN,0.00015300000086426735,0.004230999998981133,0.0012260000003152527,6.950758000002679
10,NAN,NAN,0.00015800000255694613,0.004324999998061685,0.001260000000911532,6.966833999998926
10,NAN,NAN,0.00015800000255694613,0.00428499999907217,0.002856999999494292,6.935044000001653
10,NAN,NAN,0.00016200000027311035,0.004420000001118751,0.0012759999990521464,6.974147000000812
10,NAN,NAN,0.00015600000187987462,0.004415000003064051,0.001269999997020932,6.967031000000134
10,NAN,NAN,0.0001559999982418958,0.004314000001613749,0.0012480000004870817,6.863571999998385
10,NAN,NAN,0.00015799999891896732,0.004293999998481013,0.0029080000022077,6.984921999999642
10,NAN,NAN,0.00015800000255694613,0.004398000000946922,0.0012410000017553102,6.983219999998255
10,NAN,NAN,0.00015699999858043157,0.0044239999988349155,0.0012370000004011672,6.908640000001469
10,NAN,NAN,0.00015700000221841037,0.004298000003473135,0.001255999999557389,6.926967999999761
10,NAN,NAN,0.0001540000012028031,0.004185999998298939,0.002812999999150634,6.9736140000022715
10,NAN,NAN,0.00015899999925750308,0.004471000000194181,0.0012700000006589107,6.96013899999889
10,NAN,NAN,0.0001559999982418958,0.00441300000238698,0.0012509999978647102,6.95261599999867
10,NAN,NAN,0.00015999999959603883,0.00436700000136625,0.001251999998203246,6.972579000001133
10,NAN,NAN,0.00015799999891896732,0.00429699999949662,0.0028450000027078204,6.957822000000306
10,NAN,NAN,0.00016400000095018186,0.004411000001709908,0.0012579999965964817,6.97184500000003
10,NAN,NAN,0.0001609999999345746,0.004510999999183696,0.0012620000015886035,6.949563999998645
10,NAN,NAN,0.00016000000323401764,0.004365000000689179,0.0012439999991329387,6.9734690000004775
10,NAN,NAN,0.00015700000221841037,0.004299000000173692,0.0028359999996609986,6.951787999998487
10,NAN,NAN,0.00015999999959603883,0.004475999998248881,0.0012710000009974465,6.8916859999990265
10,NAN,NAN,0.0001559999982418958,0.004272000001947163,0.0012109999988751952,6.877585000002
