Size,BF,BNB,NN,RNN,ANN,GA
5,277.0644971362843,277.0644971362843,277.0644971362843,277.0644971362843,277.0644971362843,277.0644971362843
5,196.6125066900365,196.6125066900365,198.47897994145535,198.47897994145532,198.47897994145535,196.6125066900365
5,181.17877780544643,181.17877780544643,181.17877780544643,181.17877780544643,181.17877780544643,181.17877780544643
5,185.78918266452862,185.7891826645286,195.10111346222095,185.7891826645286,185.78918266452862,185.7891826645286
5,181.332714709009,181.332714709009,181.332714709009,181.332714709009,181.33271470900903,181.332714709009
5,160.5692512393739,160.5692512393739,160.5692512393739,160.5692512393739,160.56925123937393,160.5692512393739
5,187.30799820490114,187.30799820490114,198.29918172416097,191.50897512944454,187.3079982049012,187.30799820490114
5,200.60975306368857,200.60975306368857,200.60975306368857,200.60975306368857,200.60975306368857,200.60975306368857
5,249.5409100245549,249.54091002455493,249.5409100245549,249.5409100245549,249.54091002455493,249.5409100245549
5,147.15330285744673,147.1533028574467,147.15330285744673,147.1533028574467,147.15330285744673,147.1533028574467
5,311.6523474405718,311.6523474405718,322.7817550808404,311.6523474405718,311.6523474405718,311.6523474405718
5,175.82999670303235,175.82999670303235,175.82999670303235,175.82999670303235,175.82999670303238,175.82999670303235
5,150.23639093267215,150.23639093267215,150.23639093267218,150.23639093267215,150.23639093267218,150.23639093267215
5,213.10094727537725,213.10094727537725,226.2802603821277,213.10094727537725,213.10094727537725,213.10094727537725
5,157.63385512528254,157.63385512528254,162.28380382263742,157.63385512528254,157.63385512528254,157.63385512528254
5,190.7815491176748,190.7815491176748,229.05376939325907,210.8050421525474,190.7815491176748,190.7815491176748
5,199.09535035166482,199.0953503516648,223.07835765802076,199.09535035166482,199.09535035166482,199.0953503516648
5,170.22663328555146,170.22663328555143,173.52598424330415,173.52598424330412,171.05274791567075,170.22663328555143
5,242.81820411974883,242.81820411974883,252.88184379848167,242.81820411974883,242.81820411974883,242.8182041197488
5,180.93526505213669,180.9352650521367,180.93526505213669,180.93526505213669,180.9352650521367,180.93526505213669
5,251.22627672509955,251.22627672509955,275.45381310539995,251.22627672509952,251.22627672509955,251.22627672509952
5,282.7358818382008,291.5080498993525,331.76850204715004,282.7358818382008,282.7358818382008,282.7358818382008
5,225.75025321147987,227.41920326913788,227.4192032691379,225.75025321147987,225.75025321147987,225.75025321147987
5,168.63575053314787,168.63575053314787,174.72883335696528,168.63575053314787,168.63575053314787,168.63575053314787
5,114.21134177569243,114.66495559005779,114.66495559005779,114.21134177569243,114.21134177569245,114.21134177569243
5,227.21295807362054,227.21295807362054,237.28926892323582,227.21295807362054,227.21295807362054,227.21295807362054
5,210.88684973099544,210.88684973099544,210.88684973099544,210.8868497309954,210.88684973099544,210.8868497309954
5,320.4938674723021,320.49386747230216,354.3467051172734,324.88717565446007,320.49386747230216,320.4938674723021
5,180.15496269914337,180.15496269914337,196.02902115276348,196.02902115276348,180.15496269914337,180.15496269914334
5,140.2062455627331,140.20624556273307,146.11949535538633,144.5714528833112,140.2062455627331,140.20624556273307
5,186.35298783230238,186.35298783230235,186.35298783230238,186.35298783230235,186.35298783230238,186.35298783230235
5,180.64930787670406,180.64930787670409,182.40542023167896,182.40542023167896,180.64930787670409,180.64930787670406
5,283.4423954061577,283.4423954061577,283.4423954061577,283.4423954061577,283.4423954061577,283.4423954061577
5,97.43038116189639,97.43038116189639,98.42281441274145,97.4303811618964,97.4303811618964,97.43038116189639
5,113.41961833568598,113.41961833568598,113.41961833568598,113.41961833568598,113.41961833568598,113.41961833568598
5,239.38992419665732,239.38992419665732,254.6746334740272,239.38992419665732,239.38992419665735,239.38992419665732
5,249.6583308867136,249.6583308867136,253.34055947658786,249.92912245410622,249.6583308867136,249.65833088671357
5,69.5674408929649,69.5674408929649,76.42710480616451,69.5674408929649,69.5674408929649,69.5674408929649
5,240.1208179007812,240.12081790078122,240.12081790078122,240.12081790078122,240.12081790078122,240.1208179007812
5,219.77405273292356,219.77405273292356,222.36065310478722,222.36065310478722,219.77405273292356,219.77405273292354
5,188.4366980978502,188.4366980978502,196.08861591271716,196.08861591271716,188.43669809785024,188.43669809785018
5,219.16532485842444,219.1653248584244,233.3702962192688,233.3702962192688,219.16532485842444,219.1653248584244
5,217.32579869783893,217.32579869783893,230.5783877510293,217.32579869783893,217.32579869783893,217.32579869783893
5,292.17574409958735,292.1757440995873,292.17574409958735,292.1757440995873,292.17574409958735,292.1757440995873
5,218.67484383252597,218.67484383252597,218.67484383252597,218.67484383252597,218.67484383252597,218.67484383252597
5,214.50616427729983,217.7591544606533,219.63227745634867,214.50616427729983,214.50616427729983,214.50616427729983
5,244.54100031509603,244.54100031509603,266.44159140825985,244.54100031509603,244.54100031509603,244.54100031509603
5,186.1818176248374,186.18181762483744,186.6476085530981,186.64760855309808,186.6476085530981,186.1818176248374
5,219.408288485287,219.40828848528702,228.87155148017902,219.40828848528702,219.40828848528702,219.408288485287
5,168.42332168261828,168.42332168261828,184.92191887642144,173.915388050676,168.4233216826183,168.42332168261828
