Size,BF,BNB,NN,RNN,ANN,GA
53,NAN,NAN,654.3777852500111,634.8112658858863,621.2747902225072,824.9039989447264
53,NAN,NAN,783.1255976442678,655.4421492727045,638.9290182328364,804.0132674230692
53,NAN,NAN,745.059900905676,637.5135134208219,632.2571163827569,757.7198612524361
53,NAN,NAN,731.0782560055449,653.053478804861,625.1797809190075,741.8504501434869
53,NAN,NAN,728.0539437020948,714.724946382991,636.4491961732465,910.1701423333134
53,NAN,NAN,650.7728021975211,631.4195968912497,593.2509117476351,845.6844652531964
53,NAN,NAN,745.1921047132129,680.3671147031657,644.6178076117691,840.030711480684
53,NAN,NAN,732.8395749552586,647.2679532864923,625.5422679691815,747.0966199268282
53,NAN,NAN,783.1255976442678,655.4421492727045,638.9290182328364,804.0132674230692
53,NAN,NAN,745.059900905676,637.5135134208219,632.2571163827569,757.7198612524361
53,NAN,NAN,731.0782560055449,653.053478804861,625.1797809190075,741.8504501434869
53,NAN,NAN,728.0539437020948,714.724946382991,636.4491961732465,910.1701423333134
53,NAN,NAN,650.7728021975211,631.4195968912497,593.2509117476351,845.6844652531964
53,NAN,NAN,745.1921047132129,680.3671147031657,644.6178076117691,840.030711480684
53,NAN,NAN,732.8395749552586,647.2679532864923,625.5422679691815,747.0966199268282
53,NAN,NAN,783.1255976442678,655.4421492727045,638.9290182328364,804.0132674230692
53,NAN,NAN,745.059900905676,637.5135134208219,632.2571163827569,757.7198612524361
53,NAN,NAN,731.0782560055449,653.053478804861,625.1797809190075,741.8504501434869
53,NAN,NAN,728.0539437020948,714.724946382991,636.4491961732465,910.1701423333134
53,NAN,NAN,650.7728021975211,631.4195968912497,593.2509117476351,845.6844652531964
53,NAN,NAN,745.1921047132129,680.3671147031657,644.6178076117691,840.030711480684
53,NAN,NAN,732.8395749552586,647.2679532864923,625.5422679691815,747.0966199268282
53,NAN,NAN,783.1255976442678,655.4421492727045,638.9290182328364,804.0132674230692
53,NAN,NAN,745.059900905676,637.5135134208219,632.2571163827569,757.7198612524361
53,NAN,NAN,731.0782560055449,653.053478804861,625.1797809190075,741.8504501434869
53,NAN,NAN,728.0539437020948,714.724946382991,636.4491961732465,910.1701423333134
53,NAN,NAN,650.7728021975211,631.4195968912497,593.2509117476351,845.6844652531964
53,NAN,NAN,745.1921047132129,680.3671147031657,644.6178076117691,840.030711480684
53,NAN,NAN,732.8395749552586,647.2679532864923,625.5422679691815,747.0966199268282
53,NAN,NAN,783.1255976442678,655.4421492727045,638.9290182328364,804.0132674230692
53,NAN,NAN,745.059900905676,637.5135134208219,632.2571163827569,757.7198612524361
53,NAN,NAN,731.0782560055449,653.053478804861,625.1797809190075,741.8504501434869
53,NAN,NAN,728.0539437020948,714.724946382991,636.4491961732465,910.1701423333134
53,NAN,NAN,650.7728021975211,631.4195968912497,593.2509117476351,845.6844652531964
53,NAN,NAN,745.1921047132129,680.3671147031657,644.6178076117691,840.030711480684
53,NAN,NAN,732.8395749552586,647.2679532864923,625.5422679691815,747.0966199268282
53,NAN,NAN,783.1255976442678,655.4421492727045,638.9290182328364,804.0132674230692
53,NAN,NAN,745.059900905676,637.5135134208219,632.2571163827569,757.7198612524361
53,NAN,NAN,731.0782560055449,653.053478804861,625.1797809190075,741.8504501434869
53,NAN,NAN,728.0539437020948,714.724946382991,636.4491961732465,910.1701423333134
53,NAN,NAN,650.7728021975211,631.4195968912497,593.2509117476351,845.6844652531964
53,NAN,NAN,745.1921047132129,680.3671147031657,644.6178076117691,840.030711480684
53,NAN,NAN,732.8395749552586,647.2679532864923,625.5422679691815,747.0966199268282
53,NAN,NAN,783.1255976442678,655.4421492727045,638.9290182328364,804.0132674230692
53,NAN,NAN,745.059900905676,637.5135134208219,632.2571163827569,757.7198612524361
53,NAN,NAN,731.0782560055449,653.053478804861,625.1797809190075,741.8504501434869
53,NAN,NAN,728.0539437020948,714.724946382991,636.4491961732465,910.1701423333134
53,NAN,NAN,650.7728021975211,631.4195968912497,593.2509117476351,845.6844652531964
53,NAN,NAN,745.1921047132129,680.3671147031657,644.6178076117691,840.030711480684
53,NAN,NAN,732.8395749552586,647.2679532864923,625.5422679691815,747.0966199268282
