Size,BF,BNB,NN,RNN,ANN,GA
33,NAN,NAN,581.3193532825455,508.76815480970515,511.4537157505325,598.6992861534239
33,NAN,NAN,635.8202711095225,578.7744834351213,496.5010286536206,581.5076755128714
33,NAN,NAN,581.3193532825455,508.76815480970515,511.4537157505325,598.6992861534239
33,NAN,NAN,583.7701392033731,505.2154433400558,503.5520568553969,570.4799466020767
33,NAN,NAN,585.8417031406093,548.970582916686,545.8927072386754,609.5752497875086
33,NAN,NAN,486.61051690322194,472.8545987749489,452.4432689494721,536.7128462704724
33,NAN,NAN,555.642948309223,534.0788484786,521.2877155878871,597.5112742751837
33,NAN,NAN,514.8573720487334,466.9436908931295,461.93742024485687,471.9992966424042
33,NAN,NAN,551.6890565750379,494.3292425684638,461.90603889777,516.6063147889109
33,NAN,NAN,468.1277901084436,467.8409750884163,461.0575768378376,552.9769263249386
33,NAN,NAN,592.5633441650164,556.2291196989153,548.4204364894106,665.7539320308254
33,NAN,NAN,576.9382977203508,510.48626337114376,517.7641655199967,541.4954483785689
33,NAN,NAN,573.9934059149651,504.1246726502365,475.7836811725316,557.2290820026001
33,NAN,NAN,625.5974449474107,558.3817260007542,552.8266675131914,600.4884564705584
33,NAN,NAN,530.8632021715925,446.17777025322124,454.7423783893775,499.20425096249267
33,NAN,NAN,635.8202711095225,578.7744834351213,496.5010286536206,581.5076755128714
33,NAN,NAN,581.3193532825455,508.76815480970515,511.4537157505325,598.6992861534239
33,NAN,NAN,583.7701392033731,505.2154433400558,503.5520568553969,570.4799466020767
33,NAN,NAN,585.8417031406093,548.970582916686,545.8927072386754,609.5752497875086
33,NAN,NAN,486.61051690322194,472.8545987749489,452.4432689494721,536.7128462704724
33,NAN,NAN,555.642948309223,534.0788484786,521.2877155878871,597.5112742751837
33,NAN,NAN,514.8573720487334,466.9436908931295,461.93742024485687,471.9992966424042
33,NAN,NAN,551.6890565750379,494.3292425684638,461.90603889777,516.6063147889109
33,NAN,NAN,468.1277901084436,467.8409750884163,461.0575768378376,552.9769263249386
33,NAN,NAN,592.5633441650164,556.2291196989153,548.4204364894106,665.7539320308254
33,NAN,NAN,576.9382977203508,510.48626337114376,517.7641655199967,541.4954483785689
33,NAN,NAN,573.9934059149651,504.1246726502365,475.7836811725316,557.2290820026001
33,NAN,NAN,625.5974449474107,558.3817260007542,552.8266675131914,600.4884564705584
33,NAN,NAN,530.8632021715925,446.17777025322124,454.7423783893775,499.20425096249267
33,NAN,NAN,635.8202711095225,578.7744834351213,496.5010286536206,581.5076755128714
33,NAN,NAN,581.3193532825455,508.76815480970515,511.4537157505325,598.6992861534239
33,NAN,NAN,583.7701392033731,505.2154433400558,503.5520568553969,570.4799466020767
33,NAN,NAN,585.8417031406093,548.970582916686,545.8927072386754,609.5752497875086
33,NAN,NAN,486.61051690322194,472.8545987749489,452.4432689494721,536.7128462704724
33,NAN,NAN,555.642948309223,534.0788484786,521.2877155878871,597.5112742751837
33,NAN,NAN,514.8573720487334,466.9436908931295,461.93742024485687,471.9992966424042
33,NAN,NAN,551.6890565750379,494.3292425684638,461.90603889777,516.6063147889109
33,NAN,NAN,468.1277901084436,467.8409750884163,461.0575768378376,552.9769263249386
33,NAN,NAN,592.5633441650164,556.2291196989153,548.4204364894106,665.7539320308254
33,NAN,NAN,576.9382977203508,510.48626337114376,517.7641655199967,541.4954483785689
33,NAN,NAN,573.9934059149651,504.1246726502365,475.7836811725316,557.2290820026001
33,NAN,NAN,625.5974449474107,558.3817260007542,552.8266675131914,600.4884564705584
33,NAN,NAN,530.8632021715925,446.17777025322124,454.7423783893775,499.20425096249267
33,NAN,NAN,635.8202711095225,578.7744834351213,496.5010286536206,581.5076755128714
33,NAN,NAN,581.3193532825455,508.76815480970515,511.4537157505325,598.6992861534239
33,NAN,NAN,583.7701392033731,505.2154433400558,503.5520568553969,570.4799466020767
33,NAN,NAN,585.8417031406093,548.970582916686,545.8927072386754,609.5752497875086
33,NAN,NAN,486.61051690322194,472.8545987749489,452.4432689494721,536.7128462704724
33,NAN,NAN,555.642948309223,534.0788484786,521.2877155878871,597.5112742751837
33,NAN,NAN,514.8573720487334,466.9436908931295,461.93742024485687,471.9992966424042
