Size,BF,BNB,NN,RNN,ANN,GA
65,NAN,NAN,891.3969845398764,755.2569495382683,720.2135972448973,1098.352790734895
65,NAN,NAN,752.0275876242972,690.8299240987259,639.22575794734,933.3910187265001
65,NAN,NAN,753.8868321764363,674.0847893506821,666.7448395098561,901.1448921598666
65,NAN,NAN,792.8087348676793,728.2413076391994,680.9821920248637,1008.7034176350826
65,NAN,NAN,838.7982786701058,779.3816833016854,735.0615512683943,877.31749539031
65,NAN,NAN,891.3969845398764,755.2569495382683,720.2135972448973,1098.352790734895
65,NAN,NAN,834.3817140274142,734.1076041302325,695.0284024010333,1021.4136643552441
65,NAN,NAN,761.6578639895479,669.2943762142437,649.2535997533593,950.4129842787034
65,NAN,NAN,761.0670556926174,724.8893326889045,703.0333875957239,1042.563145119122
65,NAN,NAN,721.17644606087,689.3525655075464,657.874262040093,939.414198531812
65,NAN,NAN,845.0325813242653,719.4683331093169,697.9598384558657,939.2001247371493
65,NAN,NAN,767.7394086733186,734.174803911782,709.358192188475,927.6699161216596
65,NAN,NAN,752.0275876242972,690.8299240987259,639.22575794734,933.3910187265001
65,NAN,NAN,753.8868321764363,674.0847893506821,666.7448395098561,901.1448921598666
65,NAN,NAN,792.8087348676793,728.2413076391994,680.9821920248637,1008.7034176350826
65,NAN,NAN,838.7982786701058,779.3816833016854,735.0615512683943,877.31749539031
65,NAN,NAN,891.3969845398764,755.2569495382683,720.2135972448973,1098.352790734895
65,NAN,NAN,834.3817140274142,734.1076041302325,695.0284024010333,1021.4136643552441
65,NAN,NAN,761.6578639895479,669.2943762142437,649.2535997533593,950.4129842787034
65,NAN,NAN,761.0670556926174,724.8893326889045,703.0333875957239,1042.563145119122
65,NAN,NAN,721.17644606087,689.3525655075464,657.874262040093,939.414198531812
65,NAN,NAN,845.0325813242653,719.4683331093169,697.9598384558657,939.2001247371493
65,NAN,NAN,767.7394086733186,734.174803911782,709.358192188475,927.6699161216596
65,NAN,NAN,752.0275876242972,690.8299240987259,639.22575794734,933.3910187265001
65,NAN,NAN,753.8868321764363,674.0847893506821,666.7448395098561,901.1448921598666
65,NAN,NAN,792.8087348676793,728.2413076391994,680.9821920248637,1008.7034176350826
65,NAN,NAN,838.7982786701058,779.3816833016854,735.0615512683943,877.31749539031
65,NAN,NAN,891.3969845398764,755.2569495382683,720.2135972448973,1098.352790734895
65,NAN,NAN,834.3817140274142,734.1076041302325,695.0284024010333,1021.4136643552441
65,NAN,NAN,761.6578639895479,669.2943762142437,649.2535997533593,950.4129842787034
65,NAN,NAN,761.0670556926174,724.8893326889045,703.0333875957239,1042.563145119122
65,NAN,NAN,721.17644606087,689.3525655075464,657.874262040093,939.414198531812
65,NAN,NAN,845.0325813242653,719.4683331093169,697.9598384558657,939.2001247371493
65,NAN,NAN,767.7394086733186,734.174803911782,709.358192188475,927.6699161216596
65,NAN,NAN,752.0275876242972,690.8299240987259,639.22575794734,933.3910187265001
65,NAN,NAN,753.8868321764363,674.0847893506821,666.7448395098561,901.1448921598666
65,NAN,NAN,792.8087348676793,728.2413076391994,680.9821920248637,1008.7034176350826
65,NAN,NAN,838.7982786701058,779.3816833016854,735.0615512683943,877.31749539031
65,NAN,NAN,891.3969845398764,755.2569495382683,720.2135972448973,1098.352790734895
65,NAN,NAN,834.3817140274142,734.1076041302325,695.0284024010333,1021.4136643552441
65,NAN,NAN,761.6578639895479,669.2943762142437,649.2535997533593,950.4129842787034
65,NAN,NAN,761.0670556926174,724.8893326889045,703.0333875957239,1042.563145119122
65,NAN,NAN,721.17644606087,689.3525655075464,657.874262040093,939.414198531812
65,NAN,NAN,845.0325813242653,719.4683331093169,697.9598384558657,939.2001247371493
65,NAN,NAN,767.7394086733186,734.174803911782,709.358192188475,927.6699161216596
65,NAN,NAN,752.0275876242972,690.8299240987259,639.22575794734,933.3910187265001
65,NAN,NAN,753.8868321764363,674.0847893506821,666.7448395098561,901.1448921598666
65,NAN,NAN,792.8087348676793,728.2413076391994,680.9821920248637,1008.7034176350826
65,NAN,NAN,838.7982786701058,779.3816833016854,735.0615512683943,877.31749539031
65,NAN,NAN,891.3969845398764,755.2569495382683,720.2135972448973,1098.352790734895
