Size,BF,BNB,NN,RNN,ANN,GA
39,NAN,NAN,545.1962734126811,542.598047211302,541.3023392553248,641.0362657141382
39,NAN,NAN,580.2069485505713,541.3051361638246,538.1179358329173,617.4149294144645
39,NAN,NAN,667.3439761436182,549.555937665991,531.3267835713795,585.7440033340873
39,NAN,NAN,534.4523914259748,523.5322255652978,459.0876322852195,610.3285397625518
39,NAN,NAN,654.8079565565233,585.7729285193682,552.1629248730294,683.4424797765535
39,NAN,NAN,545.1962734126811,542.598047211302,541.3023392553248,641.0362657141382
39,NAN,NAN,580.0411864551148,580.0411864551148,563.8343405464074,690.9763965052854
39,NAN,NAN,632.804934209653,546.2000321927926,531.2126838817444,672.3285137551795
39,NAN,NAN,580.2069485505713,541.3051361638246,538.1179358329173,617.4149294144645
39,NAN,NAN,667.3439761436182,549.555937665991,531.3267835713795,585.7440033340873
39,NAN,NAN,534.4523914259748,523.5322255652978,459.0876322852195,610.3285397625518
39,NAN,NAN,654.8079565565233,585.7729285193682,552.1629248730294,683.4424797765535
39,NAN,NAN,545.1962734126811,542.598047211302,541.3023392553248,641.0362657141382
39,NAN,NAN,580.0411864551148,580.0411864551148,563.8343405464074,690.9763965052854
39,NAN,NAN,632.804934209653,546.2000321927926,531.2126838817444,672.3285137551795
39,NAN,NAN,580.2069485505713,541.3051361638246,538.1179358329173,617.4149294144645
39,NAN,NAN,667.3439761436182,549.555937665991,531.3267835713795,585.7440033340873
39,NAN,NAN,534.4523914259748,523.5322255652978,459.0876322852195,610.3285397625518
39,NAN,NAN,654.8079565565233,585.7729285193682,552.1629248730294,683.4424797765535
39,NAN,NAN,545.1962734126811,542.598047211302,541.3023392553248,641.0362657141382
39,NAN,NAN,580.0411864551148,580.0411864551148,563.8343405464074,690.9763965052854
39,NAN,NAN,632.804934209653,546.2000321927926,531.2126838817444,672.3285137551795
39,NAN,NAN,580.2069485505713,541.3051361638246,538.1179358329173,617.4149294144645
39,NAN,NAN,667.3439761436182,549.555937665991,531.3267835713795,585.7440033340873
39,NAN,NAN,534.4523914259748,523.5322255652978,459.0876322852195,610.3285397625518
39,NAN,NAN,654.8079565565233,585.7729285193682,552.1629248730294,683.4424797765535
39,NAN,NAN,545.1962734126811,542.598047211302,541.3023392553248,641.0362657141382
39,NAN,NAN,580.0411864551148,580.0411864551148,563.8343405464074,690.9763965052854
39,NAN,NAN,632.804934209653,546.2000321927926,531.2126838817444,672.3285137551795
39,NAN,NAN,580.2069485505713,541.3051361638246,538.1179358329173,617.4149294144645
39,NAN,NAN,667.3439761436182,549.555937665991,531.3267835713795,585.7440033340873
39,NAN,NAN,534.4523914259748,523.5322255652978,459.0876322852195,610.3285397625518
39,NAN,NAN,654.8079565565233,585.7729285193682,552.1629248730294,683.4424797765535
39,NAN,NAN,545.1962734126811,542.598047211302,541.3023392553248,641.0362657141382
39,NAN,NAN,580.0411864551148,580.0411864551148,563.8343405464074,690.9763965052854
39,NAN,NAN,632.804934209653,546.2000321927926,531.2126838817444,672.3285137551795
39,NAN,NAN,580.2069485505713,541.3051361638246,538.1179358329173,617.4149294144645
39,NAN,NAN,667.3439761436182,549.555937665991,531.3267835713795,585.7440033340873
39,NAN,NAN,534.4523914259748,523.5322255652978,459.0876322852195,610.3285397625518
39,NAN,NAN,654.8079565565233,585.7729285193682,552.1629248730294,683.4424797765535
39,NAN,NAN,545.1962734126811,542.598047211302,541.3023392553248,641.0362657141382
39,NAN,NAN,580.0411864551148,580.0411864551148,563.8343405464074,690.9763965052854
39,NAN,NAN,632.804934209653,546.2000321927926,531.2126838817444,672.3285137551795
39,NAN,NAN,580.2069485505713,541.3051361638246,538.1179358329173,617.4149294144645
39,NAN,NAN,667.3439761436182,549.555937665991,531.3267835713795,585.7440033340873
39,NAN,NAN,534.4523914259748,523.5322255652978,459.0876322852195,610.3285397625518
39,NAN,NAN,654.8079565565233,585.7729285193682,552.1629248730294,683.4424797765535
39,NAN,NAN,545.1962734126811,542.598047211302,541.3023392553248,641.0362657141382
39,NAN,NAN,580.0411864551148,580.0411864551148,563.8343405464074,690.9763965052854
39,NAN,NAN,632.804934209653,546.2000321927926,531.2126838817444,672.3285137551795
