Size,BF,BNB,NN,RNN,ANN,GA
50,NAN,NAN,716.0156778889195,618.6565460353221,586.2721399946972,727.917270764994
50,NAN,NAN,716.0156778889195,618.6565460353221,586.2721399946972,727.917270764994
50,NAN,NAN,721.9217362612897,686.785738321006,645.0740311373872,905.2561600049062
50,NAN,NAN,661.1867256710129,624.4479919363279,583.5895701399731,751.1187452324217
50,NAN,NAN,775.5943855496696,704.5436745552281,637.585483167494,776.0572851139008
50,NAN,NAN,715.7444850718621,608.9786288637425,590.4586456386162,777.3769213317156
50,NAN,NAN,618.3975007189025,601.8824591942196,572.6544421682378,725.8186816172768
50,NAN,NAN,712.3834081750019,614.463336670377,585.4777217471931,805.270222031183
50,NAN,NAN,739.3232962045533,661.2478818636448,635.4771984379718,863.8836767535172
50,NAN,NAN,761.3823242365206,621.3705281570814,595.1713815472763,753.4126865205403
50,NAN,NAN,716.0156778889195,618.6565460353221,586.2721399946972,727.917270764994
50,NAN,NAN,721.9217362612897,686.785738321006,645.0740311373872,905.2561600049062
50,NAN,NAN,661.1867256710129,624.4479919363279,583.5895701399731,751.1187452324217
50,NAN,NAN,775.5943855496696,704.5436745552281,637.585483167494,776.0572851139008
50,NAN,NAN,715.7444850718621,608.9786288637425,590.4586456386162,777.3769213317156
50,NAN,NAN,618.3975007189025,601.8824591942196,572.6544421682378,725.8186816172768
50,NAN,NAN,712.3834081750019,614.463336670377,585.4777217471931,805.270222031183
50,NAN,NAN,739.3232962045533,661.2478818636448,635.4771984379718,863.8836767535172
50,NAN,NAN,761.3823242365206,621.3705281570814,595.1713815472763,753.4126865205403
50,NAN,NAN,716.0156778889195,618.6565460353221,586.2721399946972,727.917270764994
50,NAN,NAN,721.9217362612897,686.785738321006,645.0740311373872,905.2561600049062
50,NAN,NAN,661.1867256710129,624.4479919363279,583.5895701399731,751.1187452324217
50,NAN,NAN,775.5943855496696,704.5436745552281,637.585483167494,776.0572851139008
50,NAN,NAN,715.7444850718621,608.9786288637425,590.4586456386162,777.3769213317156
50,NAN,NAN,618.3975007189025,601.8824591942196,572.6544421682378,725.8186816172768
50,NAN,NAN,712.3834081750019,614.463336670377,585.4777217471931,805.270222031183
50,NAN,NAN,739.3232962045533,661.2478818636448,635.4771984379718,863.8836767535172
50,NAN,NAN,761.3823242365206,621.3705281570814,595.1713815472763,753.4126865205403
50,NAN,NAN,716.0156778889195,618.6565460353221,586.2721399946972,727.917270764994
50,NAN,NAN,721.9217362612897,686.785738321006,645.0740311373872,905.2561600049062
50,NAN,NAN,661.1867256710129,624.4479919363279,583.5895701399731,751.1187452324217
50,NAN,NAN,775.5943855496696,704.5436745552281,637.585483167494,776.0572851139008
50,NAN,NAN,715.7444850718621,608.9786288637425,590.4586456386162,777.3769213317156
50,NAN,NAN,618.3975007189025,601.8824591942196,572.6544421682378,725.8186816172768
50,NAN,NAN,712.3834081750019,614.463336670377,585.4777217471931,805.270222031183
50,NAN,NAN,739.3232962045533,661.2478818636448,635.4771984379718,863.8836767535172
50,NAN,NAN,761.3823242365206,621.3705281570814,595.1713815472763,753.4126865205403
50,NAN,NAN,716.0156778889195,618.6565460353221,586.2721399946972,727.917270764994
50,NAN,NAN,721.9217362612897,686.785738321006,645.0740311373872,905.2561600049062
50,NAN,NAN,661.1867256710129,624.4479919363279,583.5895701399731,751.1187452324217
50,NAN,NAN,775.5943855496696,704.5436745552281,637.585483167494,776.0572851139008
50,NAN,NAN,715.7444850718621,608.9786288637425,590.4586456386162,777.3769213317156
50,NAN,NAN,618.3975007189025,601.8824591942196,572.6544421682378,725.8186816172768
50,NAN,NAN,712.3834081750019,614.463336670377,585.4777217471931,805.270222031183
50,NAN,NAN,739.3232962045533,661.2478818636448,635.4771984379718,863.8836767535172
50,NAN,NAN,761.3823242365206,621.3705281570814,595.1713815472763,753.4126865205403
50,NAN,NAN,716.0156778889195,618.6565460353221,586.2721399946972,727.917270764994
50,NAN,NAN,721.9217362612897,686.785738321006,645.0740311373872,905.2561600049062
50,NAN,NAN,661.1867256710129,624.4479919363279,583.5895701399731,751.1187452324217
50,NAN,NAN,775.5943855496696,704.5436745552281,637.585483167494,776.0572851139008
