Size,BF,BNB,NN,RNN,ANN,GA
61,NAN,NAN,719.8522182352824,715.8237380333812,663.083726081195,824.1297540766141
61,NAN,NAN,679.7186595137662,662.4062437167295,637.1808097859365,807.0817942103424
61,NAN,NAN,714.0955715600766,675.2955598347256,632.8540582260955,817.9844955523763
61,NAN,NAN,818.7713981882063,759.3548028197858,703.4250221057705,827.5493719236721
61,NAN,NAN,818.2525766165631,692.1510196454433,659.9067286125764,955.1575253033229
61,NAN,NAN,755.7273186100979,662.8723245677985,695.9507615802686,923.1903140616398
61,NAN,NAN,773.2482303014536,723.6466212854641,655.8464020429936,763.9100047320727
61,NAN,NAN,861.8277414503497,746.3477020098001,686.9577149942978,817.7696433525675
61,NAN,NAN,679.7186595137662,662.4062437167295,637.1808097859365,807.0817942103424
61,NAN,NAN,714.0955715600766,675.2955598347256,632.8540582260955,817.9844955523763
61,NAN,NAN,818.7713981882063,759.3548028197858,703.4250221057705,827.5493719236721
61,NAN,NAN,818.2525766165631,692.1510196454433,659.9067286125764,955.1575253033229
61,NAN,NAN,755.7273186100979,662.8723245677985,695.9507615802686,923.1903140616398
61,NAN,NAN,773.2482303014536,723.6466212854641,655.8464020429936,763.9100047320727
61,NAN,NAN,861.8277414503497,746.3477020098001,686.9577149942978,817.7696433525675
61,NAN,NAN,679.7186595137662,662.4062437167295,637.1808097859365,807.0817942103424
61,NAN,NAN,714.0955715600766,675.2955598347256,632.8540582260955,817.9844955523763
61,NAN,NAN,818.7713981882063,759.3548028197858,703.4250221057705,827.5493719236721
61,NAN,NAN,818.2525766165631,692.1510196454433,659.9067286125764,955.1575253033229
61,NAN,NAN,755.7273186100979,662.8723245677985,695.9507615802686,923.1903140616398
61,NAN,NAN,773.2482303014536,723.6466212854641,655.8464020429936,763.9100047320727
61,NAN,NAN,861.8277414503497,746.3477020098001,686.9577149942978,817.7696433525675
61,NAN,NAN,679.7186595137662,662.4062437167295,637.1808097859365,807.0817942103424
61,NAN,NAN,714.0955715600766,675.2955598347256,632.8540582260955,817.9844955523763
61,NAN,NAN,818.7713981882063,759.3548028197858,703.4250221057705,827.5493719236721
61,NAN,NAN,818.2525766165631,692.1510196454433,659.9067286125764,955.1575253033229
61,NAN,NAN,755.7273186100979,662.8723245677985,695.9507615802686,923.1903140616398
61,NAN,NAN,773.2482303014536,723.6466212854641,655.8464020429936,763.9100047320727
61,NAN,NAN,861.8277414503497,746.3477020098001,686.9577149942978,817.7696433525675
61,NAN,NAN,679.7186595137662,662.4062437167295,637.1808097859365,807.0817942103424
61,NAN,NAN,714.0955715600766,675.2955598347256,632.8540582260955,817.9844955523763
61,NAN,NAN,818.7713981882063,759.3548028197858,703.4250221057705,827.5493719236721
61,NAN,NAN,818.2525766165631,692.1510196454433,659.9067286125764,955.1575253033229
61,NAN,NAN,755.7273186100979,662.8723245677985,695.9507615802686,923.1903140616398
61,NAN,NAN,773.2482303014536,723.6466212854641,655.8464020429936,763.9100047320727
61,NAN,NAN,861.8277414503497,746.3477020098001,686.9577149942978,817.7696433525675
61,NAN,NAN,679.7186595137662,662.4062437167295,637.1808097859365,807.0817942103424
61,NAN,NAN,714.0955715600766,675.2955598347256,632.8540582260955,817.9844955523763
61,NAN,NAN,818.7713981882063,759.3548028197858,703.4250221057705,827.5493719236721
61,NAN,NAN,818.2525766165631,692.1510196454433,659.9067286125764,955.1575253033229
61,NAN,NAN,755.7273186100979,662.8723245677985,695.9507615802686,923.1903140616398
61,NAN,NAN,773.2482303014536,723.6466212854641,655.8464020429936,763.9100047320727
61,NAN,NAN,861.8277414503497,746.3477020098001,686.9577149942978,817.7696433525675
61,NAN,NAN,679.7186595137662,662.4062437167295,637.1808097859365,807.0817942103424
61,NAN,NAN,714.0955715600766,675.2955598347256,632.8540582260955,817.9844955523763
61,NAN,NAN,818.7713981882063,759.3548028197858,703.4250221057705,827.5493719236721
61,NAN,NAN,818.2525766165631,692.1510196454433,659.9067286125764,955.1575253033229
61,NAN,NAN,755.7273186100979,662.8723245677985,695.9507615802686,923.1903140616398
61,NAN,NAN,773.2482303014536,723.6466212854641,655.8464020429936,763.9100047320727
61,NAN,NAN,861.8277414503497,746.3477020098001,686.9577149942978,817.7696433525675
