Size,BF,BNB,NN,RNN,ANN,GA
64,NAN,NAN,779.9229648198839,731.1920896430503,725.2400640574214,861.8488626480996
64,NAN,NAN,729.705967940348,667.5119090327617,642.8596781237206,945.2432432345076
64,NAN,NAN,756.2883978861591,720.1106748824463,698.2547297892655,966.9749657913817
64,NAN,NAN,819.481778149538,760.0651827811175,725.1131275657863,1079.422067647082
64,NAN,NAN,706.4279349446103,706.4279349446103,654.496227783924,867.4681262617111
64,NAN,NAN,830.0450561984894,722.5332898510396,653.8353069685422,942.9229201797767
64,NAN,NAN,729.705967940348,667.5119090327617,642.8596781237206,945.2432432345076
64,NAN,NAN,756.2883978861591,720.1106748824463,698.2547297892655,966.9749657913817
64,NAN,NAN,819.481778149538,760.0651827811175,725.1131275657863,1079.422067647082
64,NAN,NAN,706.4279349446103,706.4279349446103,654.496227783924,867.4681262617111
64,NAN,NAN,830.0450561984894,722.5332898510396,653.8353069685422,942.9229201797767
64,NAN,NAN,729.705967940348,667.5119090327617,642.8596781237206,945.2432432345076
64,NAN,NAN,756.2883978861591,720.1106748824463,698.2547297892655,966.9749657913817
64,NAN,NAN,819.481778149538,760.0651827811175,725.1131275657863,1079.422067647082
64,NAN,NAN,706.4279349446103,706.4279349446103,654.496227783924,867.4681262617111
64,NAN,NAN,830.0450561984894,722.5332898510396,653.8353069685422,942.9229201797767
64,NAN,NAN,729.705967940348,667.5119090327617,642.8596781237206,945.2432432345076
64,NAN,NAN,756.2883978861591,720.1106748824463,698.2547297892655,966.9749657913817
64,NAN,NAN,819.481778149538,760.0651827811175,725.1131275657863,1079.422067647082
64,NAN,NAN,706.4279349446103,706.4279349446103,654.496227783924,867.4681262617111
64,NAN,NAN,830.0450561984894,722.5332898510396,653.8353069685422,942.9229201797767
64,NAN,NAN,729.705967940348,667.5119090327617,642.8596781237206,945.2432432345076
64,NAN,NAN,756.2883978861591,720.1106748824463,698.2547297892655,966.9749657913817
64,NAN,NAN,819.481778149538,760.0651827811175,725.1131275657863,1079.422067647082
64,NAN,NAN,706.4279349446103,706.4279349446103,654.496227783924,867.4681262617111
64,NAN,NAN,830.0450561984894,722.5332898510396,653.8353069685422,942.9229201797767
64,NAN,NAN,729.705967940348,667.5119090327617,642.8596781237206,945.2432432345076
64,NAN,NAN,756.2883978861591,720.1106748824463,698.2547297892655,966.9749657913817
64,NAN,NAN,819.481778149538,760.0651827811175,725.1131275657863,1079.422067647082
64,NAN,NAN,706.4279349446103,706.4279349446103,654.496227783924,867.4681262617111
64,NAN,NAN,830.0450561984894,722.5332898510396,653.8353069685422,942.9229201797767
64,NAN,NAN,729.705967940348,667.5119090327617,642.8596781237206,945.2432432345076
64,NAN,NAN,756.2883978861591,720.1106748824463,698.2547297892655,966.9749657913817
64,NAN,NAN,819.481778149538,760.0651827811175,725.1131275657863,1079.422067647082
64,NAN,NAN,706.4279349446103,706.4279349446103,654.496227783924,867.4681262617111
64,NAN,NAN,830.0450561984894,722.5332898510396,653.8353069685422,942.9229201797767
64,NAN,NAN,729.705967940348,667.5119090327617,642.8596781237206,945.2432432345076
64,NAN,NAN,756.2883978861591,720.1106748824463,698.2547297892655,966.9749657913817
64,NAN,NAN,819.481778149538,760.0651827811175,725.1131275657863,1079.422067647082
64,NAN,NAN,706.4279349446103,706.4279349446103,654.496227783924,867.4681262617111
64,NAN,NAN,830.0450561984894,722.5332898510396,653.8353069685422,942.9229201797767
64,NAN,NAN,729.705967940348,667.5119090327617,642.8596781237206,945.2432432345076
64,NAN,NAN,756.2883978861591,720.1106748824463,698.2547297892655,966.9749657913817
64,NAN,NAN,819.481778149538,760.0651827811175,725.1131275657863,1079.422067647082
64,NAN,NAN,706.4279349446103,706.4279349446103,654.496227783924,867.4681262617111
64,NAN,NAN,830.0450561984894,722.5332898510396,653.8353069685422,942.9229201797767
64,NAN,NAN,729.705967940348,667.5119090327617,642.8596781237206,945.2432432345076
64,NAN,NAN,756.2883978861591,720.1106748824463,698.2547297892655,966.9749657913817
64,NAN,NAN,819.481778149538,760.0651827811175,725.1131275657863,1079.422067647082
64,NAN,NAN,706.4279349446103,706.4279349446103,654.496227783924,867.4681262617111
