Size,BF,BNB,NN,RNN,ANN,GA
11,NAN,279.12541935692826,291.1359593498084,288.04779446311716,281.84004832580433,278.20154163151756
11,NAN,306.1938113584106,370.7781110279878,320.8099818044399,306.1938113584105,306.1938113584105
11,NAN,299.7467183257119,340.8614627301574,314.7161588334206,299.7467183257119,299.74671832571187
11,NAN,230.00194525887173,299.8614865974317,230.0019452588717,230.00194525887176,230.00194525887173
11,NAN,328.84957236454306,356.21779729046403,343.30084093758126,328.84957236454306,328.84957236454306
11,NAN,334.8888890729172,373.5519645914258,347.57676066208353,334.88888907291715,367.56669552740505
11,NAN,294.8648762839713,336.2597589405999,301.5923146270355,308.90067643887295,294.8648762839712
11,NAN,210.93778956488325,226.5623692083072,216.50468923981688,213.31480153564826,210.93778956488327
11,NAN,265.4214510557084,342.88042893999153,297.65960343167984,272.4697239173264,265.4214510557085
11,NAN,268.8071150905386,282.42162849679954,268.8071150905386,268.8071150905386,268.8071150905387
11,NAN,321.53483215213606,329.9252983567107,321.53483215213606,321.5348321521361,321.5348321521361
11,NAN,260.9134737276149,276.44214144268796,260.9134737276149,260.9134737276149,260.9134737276149
11,NAN,265.88149085918076,326.75707508564716,269.40393797432824,265.88149085918076,265.8814908591808
11,NAN,279.12541935692826,291.1359593498084,288.04779446311716,281.84004832580433,278.20154163151756
11,NAN,306.1938113584106,370.7781110279878,320.8099818044399,306.1938113584105,306.1938113584105
11,NAN,299.7467183257119,340.8614627301574,314.7161588334206,299.7467183257119,299.74671832571187
11,NAN,230.00194525887173,299.8614865974317,230.0019452588717,230.00194525887176,230.00194525887173
11,NAN,328.84957236454306,356.21779729046403,343.30084093758126,328.84957236454306,328.84957236454306
11,NAN,334.8888890729172,373.5519645914258,347.57676066208353,334.88888907291715,367.56669552740505
11,NAN,294.8648762839713,336.2597589405999,301.5923146270355,308.90067643887295,294.8648762839712
11,NAN,210.93778956488325,226.5623692083072,216.50468923981688,213.31480153564826,210.93778956488327
11,NAN,265.4214510557084,342.88042893999153,297.65960343167984,272.4697239173264,265.4214510557085
11,NAN,268.8071150905386,282.42162849679954,268.8071150905386,268.8071150905386,268.8071150905387
11,NAN,321.53483215213606,329.9252983567107,321.53483215213606,321.5348321521361,321.5348321521361
11,NAN,260.9134737276149,276.44214144268796,260.9134737276149,260.9134737276149,260.9134737276149
11,NAN,265.88149085918076,326.75707508564716,269.40393797432824,265.88149085918076,265.8814908591808
11,NAN,279.12541935692826,291.1359593498084,288.04779446311716,281.84004832580433,278.20154163151756
11,NAN,306.1938113584106,370.7781110279878,320.8099818044399,306.1938113584105,306.1938113584105
11,NAN,299.7467183257119,340.8614627301574,314.7161588334206,299.7467183257119,299.74671832571187
11,NAN,230.00194525887173,299.8614865974317,230.0019452588717,230.00194525887176,230.00194525887173
11,NAN,328.84957236454306,356.21779729046403,343.30084093758126,328.84957236454306,328.84957236454306
11,NAN,334.8888890729172,373.5519645914258,347.57676066208353,334.88888907291715,367.56669552740505
11,NAN,294.8648762839713,336.2597589405999,301.5923146270355,308.90067643887295,294.8648762839712
11,NAN,210.93778956488325,226.5623692083072,216.50468923981688,213.31480153564826,210.93778956488327
11,NAN,265.4214510557084,342.88042893999153,297.65960343167984,272.4697239173264,265.4214510557085
11,NAN,268.8071150905386,282.42162849679954,268.8071150905386,268.8071150905386,268.8071150905387
11,NAN,321.53483215213606,329.9252983567107,321.53483215213606,321.5348321521361,321.5348321521361
11,NAN,260.9134737276149,276.44214144268796,260.9134737276149,260.9134737276149,260.9134737276149
11,NAN,265.88149085918076,326.75707508564716,269.40393797432824,265.88149085918076,265.8814908591808
11,NAN,279.12541935692826,291.1359593498084,288.04779446311716,281.84004832580433,278.20154163151756
11,NAN,306.1938113584106,370.7781110279878,320.8099818044399,306.1938113584105,306.1938113584105
11,NAN,299.7467183257119,340.8614627301574,314.7161588334206,299.7467183257119,299.74671832571187
11,NAN,230.00194525887173,299.8614865974317,230.0019452588717,230.00194525887176,230.00194525887173
11,NAN,328.84957236454306,356.21779729046403,343.30084093758126,328.84957236454306,328.84957236454306
11,NAN,334.8888890729172,373.5519645914258,347.57676066208353,334.88888907291715,367.56669552740505
11,NAN,294.8648762839713,336.2597589405999,301.5923146270355,308.90067643887295,294.8648762839712
11,NAN,210.93778956488325,226.5623692083072,216.50468923981688,213.31480153564826,210.93778956488327
11,NAN,265.4214510557084,342.88042893999153,297.65960343167984,272.4697239173264,265.4214510557085
11,NAN,268.8071150905386,282.42162849679954,268.8071150905386,268.8071150905386,268.8071150905387
11,NAN,321.53483215213606,329.9252983567107,321.53483215213606,321.5348321521361,321.5348321521361
